ASIGN_VALDYTOJAS;TIEKEJAS;POZYMIS;PROGRAMA;FIN_SALTINIS;SAMATA;SASKAITOS_NR;SASKAITOS_DATA;VALIUTA;SASKAITOS_SUMA;APMOKETA;APMOKETA_IKI_EIN_METU;APMOKETA_I_KETV;APMOKETA_II_KETV;APMOKETA_III_KETV;APMOKETA_IV_KETV;PASTABA;SUT_NR_FVAS;SUT_NR_AVILYS;ITRAUK_SUMA;PAR_DATA
188710061;"PALUCKAS, GINTAUTAS";"Tarybos narys";16030101;01;1000012;AV2016/10;29-JAN-16;EUR;156;0;0;0;0;0;0;;-;-;;;
188710061;"IMBRASAS, JUOZAS";"Tarybos narys";16010101;01;1000002;AV2015/292;30-JUN-15;EUR;667;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16030101;01;1000012;AV2015/191;20-APR-15;EUR;159.83;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16010101;01;1000002;AV2015/371;30-SEP-15;EUR;778.74;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16030101;01;1000012;AV2015/38;25-FEB-15;EUR;176.69;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16030101;01;1000012;AV2015/4;30-JAN-15;EUR;178.42;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16010101;01;1000002;AV2015/482;31-DEC-15;EUR;730.65;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16010101;01;1000002;AV2015/8;08-JAN-15;EUR;75.32;0;0;0;0;0;0;;-;-;;;
188710061;"NĖNIUS, KĘSTUTIS";"Tarybos narys";16010101;01;1000002;1-1621/26-12;04-DEC-14;EUR;289.62;289.62;289.62;0;0;0;0;;-;-;;;
188710061;"ŠVILPA, GEDIMINAS";"Tarybos narys";16010101;01;1000002;1-90/43-04;11-APR-16;EUR;300;0;0;0;0;0;0;;-;-;;;
188710061;"BALČIŪNIENĖ, RITA";"Tarybos narys";16010101;01;1000002;AV2015/280;30-JUN-15;EUR;143.5;0;0;0;0;0;0;;-;-;;;
188710061;"BENKUNSKAS, VALDAS";"Tarybos narys";16030101;01;1000012;AV2015/437;02-NOV-15;EUR;172.6;0;0;0;0;0;0;;-;-;;;
188710061;"BENKUNSKAS, VALDAS";"Tarybos narys";16030101;01;1000012;AV2016/6;11-JAN-16;EUR;20.9;0;0;0;0;0;0;;-;-;;;
188710061;"KUZMICKIENĖ, PAULĖ";"Tarybos narys";16010101;01;1000002;AV2015/486;31-DEC-15;EUR;900;0;0;0;0;0;0;;-;-;;;
188710061;"SAKSON, GŽEGOŽ";"Tarybos narys";16010101;01;1000002;AV2015/389;30-SEP-15;EUR;892.91;0;0;0;0;0;0;;-;-;;;
188710061;"SKUČAS, ŠARŪNAS";"Tarybos narys";16010101;01;1000002;AV2015/316;30-JUN-15;EUR;583.23;0;0;0;0;0;0;;-;-;;;
188710061;"GNEUŠEV, DMITRIJ";"Tarybos narys";16010101;01;1000002;AV2015/403;30-SEP-15;EUR;892.91;0;0;0;0;0;0;;-;-;;;
188710061;"JURGUTIS, VINCAS";"Tarybos narys";16010101;01;1000002;AV2015/370;30-SEP-15;EUR;241.47;0;0;0;0;0;0;;-;-;;;
188710061;"KATINAS, ANDRIUS";"Tarybos narys";16010101;01;1000002;AV2015/296;30-JUN-15;EUR;667;0;0;0;0;0;0;;-;-;;;
188710061;"KONTRIMIENĖ, AUKSĖ";"Tarybos narys";16010101;01;1000002;AV2015/297;30-JUN-15;EUR;162.18;0;0;0;0;0;0;;-;-;;;
188710061;"KONTRIMIENĖ, AUKSĖ";"Tarybos narys";16010101;01;1000002;AV2015/468;10-DEC-15;EUR;896.5;0;0;0;0;0;0;;-;-;;;
188710061;"TUMELIS, SKIRMANTAS";"Tarybos narys";16010101;01;1000002;AV2015/325;30-JUN-15;EUR;104.6;0;0;0;0;0;0;;-;-;;;
188710061;"MITALAS, VYTAUTAS";"Tarybos narys";16010101;01;1000002;AV2015/381;30-SEP-15;EUR;890.84;0;0;0;0;0;0;;-;-;;;
188710061;"MITALAS, VYTAUTAS";"Tarybos narys";16010101;01;1000002;AV2015/491;31-DEC-15;EUR;704.61;0;0;0;0;0;0;;-;-;;;
188710061;"CYTACKA, RENATA";"Tarybos narys";16010101;01;1000002;AV2015/287;30-JUN-15;EUR;656.45;0;0;0;0;0;0;;-;-;;;
188710061;"ŠIKŠTA, ARŪNAS";"Tarybos narys";16010101;01;1000002;AV2015/319;30-JUN-15;EUR;667;0;0;0;0;0;0;;-;-;;;
188710061;"ŠIKŠTA, ARŪNAS";"Tarybos narys";16010101;01;1000002;AV2015/510;31-DEC-15;EUR;93.85;0;0;0;0;0;0;;-;-;;;
188710061;"BUŽINSKAS, ADOMAS";"Tarybos narys";16010101;01;1000002;AV2015/364;30-SEP-15;EUR;892.91;0;0;0;0;0;0;;-;-;;;
188710061;"BUŽINSKAS, ADOMAS";"Tarybos narys";16010101;01;1000002;AV2015/478;31-DEC-15;EUR;872.07;0;0;0;0;0;0;;-;-;;;
188710061;"SEKMOKAS, ARVYDAS";"Tarybos narys";16010101;01;1000002;AV2015/314;30-JUN-15;EUR;491.4;0;0;0;0;0;0;;-;-;;;
188710061;"SEKMOKAS, ARVYDAS";"Tarybos narys";16010101;01;1000002;AV2015/465;01-DEC-15;EUR;900;0;0;0;0;0;0;;-;-;;;
188710061;"ŠIMAŠIUS, REMIGIJUS";"Tarybos narys";16030101;01;1000063;AV2015/349;03-SEP-15;EUR;12.5;0;0;0;0;0;0;;-;-;;;
188710061;"ŠIMAŠIUS, REMIGIJUS";"Tarybos narys";16030101;01;1000063;AV2015/350;03-SEP-15;EUR;21.71;0;0;0;0;0;0;;-;-;;;
188710061;"ŠIMAŠIUS, REMIGIJUS";"Tarybos narys";16030101;01;1000063;AV2015/442;13-NOV-15;EUR;26.14;0;0;0;0;0;0;;-;-;;;
188710061;"PODOLSKAITĖ, VIOLETA";"Tarybos narys";16010101;01;1000002;AV2015/386;30-SEP-15;EUR;892.91;0;0;0;0;0;0;;-;-;;;
188710061;"RUDŽIONIS, GEDIMINAS";"Tarybos narys";16010101;01;1000002;AV2015/141;31-MAR-15;EUR;870;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16030101;01;1000012;AV2015-4.3;30-APR-15;EUR;.29;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16010101;01;1000002;AV2015/113;25-MAR-15;EUR;658.93;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16010101;01;1000002;AV2015/30;09-FEB-15;EUR;66.96;0;0;0;0;0;0;;-;-;;;
188710061;"KAMINSKI, JAROSLAV";"Tarybos narys";16030101;01;1000012;"SKA 2014/00979";09-DEC-14;EUR;43.44;43.44;43.44;0;0;0;0;;-;-;;;
